,area_type,location,total_sqft,bath,balcony,price,BHK,price_per_sqft
8184,Super built-up  Area,Hosa Road,1063.0,2.0,1.0,32.8,2,3085.6067732831602
8185,Built-up  Area,Kammanahalli,1100.0,2.0,1.0,60.0,2,5454.545454545455
8186,Plot  Area,Kamakshipalya,1044.0,2.0,2.0,85.0,2,8141.762452107279
8188,Built-up  Area,6th Phase JP Nagar,1216.0,2.0,2.0,60.0,2,4934.210526315789
8189,Super built-up  Area,Suddaguntepalya,1425.0,3.0,2.0,55.0,3,3859.6491228070176
8191,Super built-up  Area,Hosur Road,1345.0,2.0,2.0,108.0,2,8029.739776951673
8192,Super built-up  Area,Marathahalli,1248.0,2.0,1.0,130.0,2,10416.666666666666
8195,Built-up  Area,Bellandur,3600.0,4.0,2.0,245.0,4,6805.555555555556
8196,Super built-up  Area,Uttarahalli,1025.0,2.0,1.0,35.88,2,3500.4878048780492
8198,Super built-up  Area,Lakshminarayana Pura,3050.0,2.0,2.0,90.0,3,2950.8196721311474
8199,Super built-up  Area,Kadubeesanahalli,1424.0,2.0,2.0,75.0,3,5266.853932584269
8202,Super built-up  Area,Byrasandra Extension,1285.0,2.0,2.0,45.0,2,3501.9455252918287
8203,Super built-up  Area,Babusapalaya,1450.0,2.0,1.0,55.99,2,3861.3793103448274
8204,Super built-up  Area,Raja Rajeshwari Nagar,1160.0,2.0,1.0,70.0,2,6034.482758620689
8206,Plot  Area,Gattahalli,2000.0,2.0,2.0,95.0,3,4750.0
8207,Super built-up  Area,Uttarahalli,1125.0,2.0,1.0,47.65,2,4235.555555555556
8208,Built-up  Area,Old Madras Road,3900.0,4.0,2.0,175.0,4,4487.179487179487
8209,Built-up  Area,Raja Rajeshwari Nagar,1133.0,2.0,1.0,38.37,2,3386.5842894969105
8210,Super built-up  Area,Arekere,1240.0,2.0,2.0,60.0,2,4838.709677419355
8211,Super built-up  Area,Devanahalli,1466.0,3.0,3.0,77.59,3,5292.633015006822
8213,Super built-up  Area,Ramagondanahalli,1610.0,2.0,2.0,115.0,3,7142.857142857143
8214,Super built-up  Area,Sarjapur  Road,1220.0,3.0,2.0,56.0,3,4590.163934426229
8215,Built-up  Area,Kaggadasapura,1225.0,2.0,2.0,48.0,2,3918.3673469387754
8216,Super built-up  Area,Akshaya Nagar,1300.0,2.0,1.0,54.0,2,4153.846153846154
8217,Super built-up  Area,Thanisandra,1996.0,4.0,1.0,123.0,3,6162.324649298597
8218,Super built-up  Area,Mallathahalli,1320.0,2.0,2.0,55.0,3,4166.666666666667
8220,Super built-up  Area,Richmond Town,1835.0,3.0,3.0,175.0,3,9536.784741144415
8221,Super built-up  Area,Sarjapur  Road,1435.0,3.0,2.0,90.0,3,6271.777003484321
8222,Super built-up  Area,Whitefield,4097.0,3.0,2.0,400.0,3,9763.24139614352
8223,Super built-up  Area,Rayasandra,1601.0,3.0,3.0,70.0,3,4372.2673329169265
8224,Super built-up  Area,Kadubeesanahalli,1257.0,2.0,2.0,93.0,2,7398.568019093079
8225,Super built-up  Area,Iblur Village,3596.0,5.0,1.0,260.0,4,7230.255839822024
8226,Super built-up  Area,Kasavanhalli,1309.0,2.0,2.0,95.0,2,7257.448433919022
8227,Plot  Area,Yeshwanthpur,1362.0,2.0,0.0,100.0,2,7342.143906020558
8228,Super built-up  Area,Whitefield,1115.0,2.0,1.0,55.0,2,4932.735426008969
8229,Super built-up  Area,Whitefield,1870.0,3.0,2.0,90.0,3,4812.834224598931
8230,Super built-up  Area,manyata park,1322.0,2.0,1.0,61.99,2,4689.10741301059
8231,Super built-up  Area,Telecom Layout,1450.0,2.0,1.0,65.0,3,4482.758620689655
8232,Super built-up  Area,Banashankari,1185.0,2.0,2.0,67.0,2,5654.008438818565
8233,Super built-up  Area,7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3,6703.91061452514
8234,Plot  Area,Whitefield,3450.0,4.0,2.0,208.0,3,6028.985507246377
8235,Super built-up  Area,Rachenahalli,1050.0,2.0,2.0,52.5,2,5000.0
8236,Super built-up  Area,Budigere,693.0,1.0,0.0,27.375,1,3950.21645021645
8238,Super built-up  Area,Devanahalli,775.0,1.0,0.0,39.0,1,5032.258064516129
8239,Built-up  Area,Hoodi,1000.0,2.0,2.0,48.0,2,4800.0
8240,Super built-up  Area,Thanisandra,1183.0,2.0,1.0,77.25,2,6530.0084530853765
8242,Super built-up  Area,Alur,425.0,1.0,1.0,15.0,1,3529.4117647058824
8243,Built-up  Area,Nelamangala,820.0,2.0,2.0,30.0,2,3658.5365853658536
8245,Built-up  Area,Hebbal,1200.0,2.0,2.0,52.0,2,4333.333333333333
8246,Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,43.6,2,3788.010425716768
8247,Super built-up  Area,Hulimavu,1320.0,2.0,2.0,59.0,3,4469.69696969697
8248,Carpet  Area,Bikasipura,1450.0,3.0,2.0,68.0,3,4689.6551724137935
8249,Super built-up  Area,Poorna Pragna Layout,1270.0,2.0,3.0,50.79,3,3999.212598425197
8250,Super built-up  Area,Hegde Nagar,1847.0,3.0,2.0,123.0,3,6659.447753113156
8251,Super built-up  Area,Devanahalli,1020.0,2.0,1.0,49.87,1,4889.21568627451
8252,Super built-up  Area,Somasundara Palya,1650.0,3.0,2.0,95.0,3,5757.575757575758
8253,Super built-up  Area,Richmond Town,2380.0,4.0,3.0,242.0,4,10168.067226890757
8254,Built-up  Area,Electronic City,2400.0,2.0,2.0,78.0,3,3250.0
8255,Super built-up  Area,Begur Road,1160.0,2.0,2.0,44.0,2,3793.103448275862
8256,Super built-up  Area,Haralur Road,2805.0,4.0,3.0,154.0,4,5490.196078431372
8257,Super built-up  Area,Mysore Road,1360.0,3.0,0.0,47.6,3,3500.0
8258,Super built-up  Area,Brookefield,1089.0,2.0,1.0,49.0,2,4499.540863177227
8259,Super built-up  Area,Yelahanka,1115.0,2.0,2.0,60.0,2,5381.165919282511
8260,Super built-up  Area,Kudlu Gate,1215.0,2.0,1.0,45.0,2,3703.703703703704
8261,Super built-up  Area,Sarjapur  Road,1194.0,2.0,1.0,51.0,2,4271.356783919598
8262,Super built-up  Area,Kannamangala,1536.0,3.0,1.0,104.0,3,6770.833333333333
8263,Super built-up  Area,Hennur,1255.0,2.0,2.0,55.5,2,4422.310756972111
8264,Super built-up  Area,Electronic City,1571.0,3.0,2.0,83.0,3,5283.259070655633
8265,Plot  Area,Virupakshapura,900.0,1.0,0.0,70.0,2,7777.777777777777
8266,Super built-up  Area,Keshava Nagar,1517.0,2.0,2.0,125.0,2,8239.947264337508
8267,Super built-up  Area,Budigere,664.0,1.0,1.0,35.4,1,5331.325301204819
8268,Super built-up  Area, Devarachikkanahalli,1230.0,2.0,1.0,58.0,2,4715.447154471544
8269,Super built-up  Area,Hegde Nagar,1340.0,2.0,2.0,72.0,2,5373.134328358209
8270,Super built-up  Area,Attibele,1175.0,2.0,1.0,29.38,2,2500.425531914894
8272,Super built-up  Area,Sarjapur,1240.0,2.0,2.0,43.1,2,3475.8064516129034
8274,Super built-up  Area,Electronic City,1470.0,2.0,1.0,44.1,3,3000.0
8275,Super built-up  Area,Kanakpura Road,525.0,2.0,2.0,29.25,1,5571.428571428572
8276,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3,6964.285714285715
8277,Super built-up  Area,Sri Sai Layout,1000.0,2.0,2.0,35.0,2,3500.0
8278,Super built-up  Area,Gunjur,1071.0,2.0,1.0,51.0,2,4761.9047619047615
8279,Super built-up  Area,Sector 2 HSR Layout,1512.0,3.0,2.0,80.0,3,5291.005291005291
8280,Built-up  Area,Frazer Town,3435.0,2.0,1.0,341.0,4,9927.21979621543
8282,Built-up  Area,Kalyan nagar,1190.0,2.0,1.0,60.0,2,5042.016806722689
8283,Super built-up  Area,Pattandur Agrahara,1550.0,2.0,3.0,80.0,3,5161.290322580645
8284,Super built-up  Area,Kanakpura Road,1283.0,2.0,2.0,63.22,2,4927.5136399064695
8285,Built-up  Area,Mallasandra,1325.0,2.0,2.0,73.0,2,5509.433962264151
8286,Super built-up  Area,Whitefield,1105.0,2.0,1.0,35.36,2,3200.0
8287,Super built-up  Area,Banaswadi,1600.0,3.0,2.0,74.5,3,4656.25
8289,Super built-up  Area,Kanakpura Road,800.0,2.0,2.0,41.145,2,5143.125000000001
8290,Super built-up  Area,Hennur,1100.0,2.0,1.0,44.55,2,4050.0
8291,Super built-up  Area,Talaghattapura,2099.0,3.0,3.0,147.0,3,7003.334921391139
8292,Super built-up  Area,Yelachenahalli,1365.0,2.0,1.0,72.0,3,5274.725274725275
8293,Super built-up  Area,Hebbal Kempapura,1485.0,3.0,3.0,132.0,2,8888.888888888889
8294,Super built-up  Area,Hosur Road,1250.0,2.0,1.0,55.0,2,4400.0
8295,Super built-up  Area,Chikkalasandra,1290.0,2.0,2.0,56.12,3,4350.387596899225
8296,Super built-up  Area,Bellandur,1170.0,2.0,1.0,46.79,2,3999.1452991452993
8297,Super built-up  Area,Kanakpura Road,1328.0,2.0,3.0,91.06,2,6856.9277108433735
8298,Super built-up  Area,Hennur Road,1232.0,2.0,1.0,87.0,2,7061.688311688312
8299,Super built-up  Area,1st Phase JP Nagar,1180.0,2.0,2.0,88.5,2,7500.0
8300,Super built-up  Area,Electronic City,1350.0,3.0,2.0,66.0,3,4888.888888888889
8301,Super built-up  Area,Nagawara Junction,3602.0,4.0,2.0,280.0,4,7773.459189339256
8302,Super built-up  Area,Nagasandra,2400.0,4.0,1.0,145.0,4,6041.666666666667
8303,Super built-up  Area,Electronic City Phase II,1020.0,2.0,2.0,32.0,2,3137.2549019607845
8304,Super built-up  Area,Begur Road,1410.0,2.0,3.0,49.34,3,3499.290780141844
8305,Built-up  Area,Vishwanatha Nagenahalli,2159.0,3.0,2.0,120.0,3,5558.12876331635
8307,Super built-up  Area,TC Palaya,1200.0,2.0,0.0,66.0,3,5500.0
8308,Super built-up  Area,Hennur,1255.0,2.0,1.0,57.5,2,4581.673306772908
8309,Super built-up  Area,Whitefield,1074.0,2.0,1.0,42.79,2,3984.171322160149
8310,Plot  Area,Suragajakkanahalli,1200.0,3.0,2.0,72.0,3,6000.0
8311,Super built-up  Area,Sarjapur,1170.0,2.0,2.0,35.41,3,3026.495726495726
8312,Super built-up  Area,Tumkur Road,728.5,1.0,0.0,31.315,1,4298.558682223747
8313,Super built-up  Area,Bommanahalli,1660.0,2.0,2.0,100.0,3,6024.096385542169
8315,Built-up  Area,SK Garden,1850.0,3.0,0.0,175.0,6,9459.45945945946
8316,Built-up  Area,Gowdanapalya,510.0,1.0,0.0,34.0,1,6666.666666666667
8317,Super built-up  Area,Mahadevpura,1601.0,3.0,2.0,95.0,3,5933.791380387258
8318,Super built-up  Area,Begur Road,952.0,2.0,1.0,42.0,2,4411.764705882353
8319,Super built-up  Area,PNS Layout,1166.0,2.0,3.0,65.0,2,5574.614065180103
8320,Built-up  Area,Venkatapura,2700.0,2.0,1.0,260.0,3,9629.62962962963
8321,Built-up  Area,Electronic City Phase II,1900.0,3.0,1.0,97.0,4,5105.263157894737
8323,Super built-up  Area,Haralur Road,1520.0,2.0,2.0,96.0,3,6315.789473684211
8324,Plot  Area,Harsha Layout,2100.0,6.0,3.0,100.0,4,4761.9047619047615
8325,Super built-up  Area,Yelenahalli,1175.0,2.0,2.0,50.0,2,4255.31914893617
8326,Super built-up  Area,Bharathi Nagar,1432.0,2.0,2.0,68.0,2,4748.6033519553075
8327,Super built-up  Area,Bommasandra Industrial Area,1005.0,2.0,1.0,39.77,2,3957.213930348259
8328,Super built-up  Area,Rajiv Nagar,1309.0,2.0,1.0,80.0,2,6111.535523300229
8330,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2,7333.333333333333
8331,Super built-up  Area,Kanakpura Road,1100.0,3.0,2.0,53.0,3,4818.181818181818
8333,Super built-up  Area,Begur Road,1565.0,2.0,2.0,56.34,3,3600.0
8334,Built-up  Area,1st Stage Indira Nagar,940.0,2.0,1.0,56.0,2,5957.446808510638
8335,Super built-up  Area,Yarandahalli,1015.0,2.0,1.0,40.1,2,3950.7389162561576
8337,Super built-up  Area,Electronic City,1652.0,3.0,3.0,110.0,3,6658.595641646489
8338,Super built-up  Area,Whitefield,1100.0,2.0,2.0,52.0,2,4727.272727272727
8339,Super built-up  Area,Rajiv Nagar,2340.0,4.0,1.0,145.0,4,6196.581196581196
8341,Plot  Area,Kammanahalli,1200.0,1.0,1.0,81.0,2,6750.0
8342,Super built-up  Area,Kacharakanahalli,1400.0,3.0,3.0,69.0,3,4928.571428571428
8344,Super built-up  Area,Electronic City Phase II,1020.0,2.0,1.0,27.43,2,2689.2156862745096
8345,Super built-up  Area,Whitefield,1267.0,2.0,1.0,90.33,2,7129.439621152328
8346,Super built-up  Area,Bhoganhalli,2439.0,4.0,3.0,185.0,4,7585.075850758508
8347,Built-up  Area,Ashwath Nagar,1645.0,3.0,2.0,95.0,3,5775.075987841945
8348,Super built-up  Area,Sahakara Nagar,1100.0,2.0,2.0,75.0,3,6818.181818181818
8349,Built-up  Area,Electronic City,1320.0,2.0,1.0,38.12,3,2887.8787878787875
8350,Super built-up  Area,Ananth Nagar,1000.0,2.0,1.0,29.7,2,2970.0
8352,Built-up  Area,KR Puram,2500.0,6.0,3.0,58.0,6,2320.0
8353,Plot  Area,Kengeri Satellite Town,2480.0,2.0,1.0,160.0,2,6451.612903225807
8354,Built-up  Area,Kalyan nagar,1086.0,2.0,2.0,44.5,2,4097.605893186003
8355,Super built-up  Area,Kengeri,416.0,1.0,1.0,18.0,1,4326.923076923077
8356,Built-up  Area,Hennur Road,1066.0,2.0,1.0,52.23,2,4899.624765478424
8357,Super built-up  Area,OMBR Layout,1730.0,3.0,1.0,93.0,3,5375.722543352601
8358,Super built-up  Area,Balagere,1205.0,2.0,1.0,63.86,2,5299.585062240664
8359,Super built-up  Area,Marathahalli,2500.0,5.0,2.0,175.0,4,7000.0
8360,Super built-up  Area,Subramanyapura,960.0,2.0,1.0,55.0,2,5729.166666666667
8361,Super built-up  Area,Haralur Road,1510.0,3.0,2.0,83.05,3,5500.0
8362,Built-up  Area,Kanaka Nagar,1600.0,4.0,2.0,90.0,4,5625.0
8363,Built-up  Area,Old Madras Road,2300.0,3.0,2.0,142.0,3,6173.913043478261
8364,Built-up  Area,Jakkasandra Extension,1000.0,2.0,1.0,63.0,2,6300.0
8365,Super built-up  Area,Poorna Pragna Layout,1160.0,2.0,1.0,46.39,2,3999.137931034483
8366,Super built-up  Area,Hormavu,1553.0,2.0,2.0,58.23,3,3749.5170637475853
8367,Super built-up  Area,Frazer Town,3436.0,5.0,2.0,345.0,4,10040.745052386495
8368,Super built-up  Area,Seegehalli,1134.0,2.0,2.0,45.0,2,3968.253968253968
8370,Plot  Area,Horamavu Agara,2400.0,3.0,3.0,80.0,5,3333.3333333333335
8371,Plot  Area,Whitefield,2400.0,4.0,1.0,143.0,4,5958.333333333333
8372,Super built-up  Area,Nagashetty Halli,1350.0,2.0,2.0,65.0,2,4814.814814814815
8373,Super built-up  Area,Sarjapur,1032.0,2.0,1.0,42.0,2,4069.767441860465
8374,Super built-up  Area,Tigalarpalya,1998.0,3.0,2.0,117.0,3,5855.855855855856
8375,Super built-up  Area,Murugeshpalya,1225.0,2.0,2.0,48.0,2,3918.3673469387754
8376,Super built-up  Area,Sarjapur  Road,1262.0,2.0,2.0,67.0,2,5309.033280507131
8377,Super built-up  Area,Badavala Nagar,1842.0,3.0,2.0,115.0,3,6243.213897937025
8378,Super built-up  Area,Thomas Town,1300.0,2.0,2.0,60.0,2,4615.384615384615
8379,Super built-up  Area,Kothannur,1070.0,2.0,2.0,38.6,2,3607.4766355140187
8380,Built-up  Area,"Electronic city Phase 1, ",950.0,2.0,1.0,33.0,2,3473.684210526316
8381,Super built-up  Area,Balagere,1012.0,2.0,1.0,53.58,2,5294.466403162055
8382,Built-up  Area,TC Palaya,1000.0,2.0,0.0,70.0,2,7000.0
8383,Super built-up  Area,Kadugodi,1394.0,2.0,2.0,56.0,2,4017.2166427546626
8384,Super built-up  Area,Amruthahalli,1450.0,2.0,1.0,85.0,3,5862.068965517241
8385,Super built-up  Area, Banaswadi,527.0,1.0,0.0,35.0,1,6641.366223908918
8386,Super built-up  Area,Sarjapur  Road,1693.0,3.0,2.0,125.0,3,7383.343177790904
8387,Super built-up  Area,Thigalarapalya,3122.0,6.0,2.0,235.0,4,7527.226137091608
8388,Super built-up  Area,Horamavu Agara,1000.0,2.0,1.0,46.0,2,4600.0
8389,Built-up  Area,Kogilu,952.0,2.0,2.0,49.0,2,5147.058823529412
8392,Super built-up  Area,Mysore Road,1410.0,2.0,2.0,64.0,3,4539.007092198582
8393,Super built-up  Area,Hebbal Kempapura,1400.0,2.0,2.0,108.0,2,7714.285714285715
8394,Plot  Area,Chikka Tirupathi,3056.0,5.0,2.0,100.0,4,3272.251308900524
8395,Super built-up  Area,Sarjapur  Road,1826.0,3.0,2.0,125.0,3,6845.564074479737
8396,Super built-up  Area,Hosur Road,1689.0,3.0,2.0,103.0,3,6098.283007696862
8397,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,31.0,3,2883.720930232558
8399,Super built-up  Area,Hennur,960.0,2.0,1.0,48.0,2,5000.0
8400,Built-up  Area,Channasandra,808.0,2.0,1.0,40.0,2,4950.495049504951
8401,Super built-up  Area,Kodichikkanahalli,907.0,2.0,2.0,38.5,2,4244.7629547960305
8402,Super built-up  Area,Uttarahalli,1300.0,2.0,2.0,55.0,2,4230.7692307692305
8403,Super built-up  Area,Sector 1 HSR Layout,1804.0,3.0,2.0,150.0,3,8314.855875831485
8404,Super built-up  Area,Naidu Layout,1350.0,3.0,2.0,81.0,3,6000.0
8405,Super built-up  Area,Whitefield,1836.0,3.0,2.0,125.0,3,6808.278867102396
8406,Super built-up  Area,Sugama Layout,826.0,2.0,2.0,36.0,2,4358.353510895884
8407,Super built-up  Area,Hormavu,1200.0,2.0,3.0,68.0,2,5666.666666666667
8408,Super built-up  Area,1st Block Koramangala,3000.0,3.0,3.0,300.0,4,10000.0
8410,Super built-up  Area,6th Phase JP Nagar,1460.0,2.0,2.0,80.0,2,5479.45205479452
8412,Super built-up  Area,BTM 2nd Stage,965.0,2.0,2.0,56.0,2,5803.108808290155
8413,Carpet  Area,Kothannur,2000.0,4.0,2.0,95.0,4,4750.0
8414,Super built-up  Area,Bhoganhalli,1395.0,2.0,2.0,70.0,3,5017.921146953405
8415,Super built-up  Area,Sarjapur  Road,1660.0,3.0,2.0,116.0,3,6987.951807228916
8416,Super built-up  Area,Kada Agrahara,935.0,2.0,2.0,35.0,2,3743.3155080213905
8417,Super built-up  Area,Hongasandra,1180.0,2.0,1.0,39.0,2,3305.084745762712
8418,Built-up  Area,Electronic City,1090.0,2.0,1.0,31.48,2,2888.0733944954127
8419,Super built-up  Area,Kanakpura Road,1204.0,2.0,1.0,82.0,2,6810.631229235881
8420,Super built-up  Area,Thigalarapalya,2072.0,4.0,2.0,153.0,3,7384.169884169884
8421,Built-up  Area,Haralur Road,1056.0,2.0,1.0,65.0,2,6155.30303030303
8422,Super built-up  Area,Hebbal,985.0,2.0,2.0,62.0,2,6294.416243654822
8423,Super built-up  Area,Banashankari Stage V,1315.0,2.0,2.0,49.0,3,3726.235741444867
8424,Built-up  Area,KR Puram,734.0,2.0,1.0,22.0,2,2997.275204359673
8425,Built-up  Area,Kammanahalli,2900.0,4.0,2.0,200.0,4,6896.551724137931
8426,Super built-up  Area,Yelahanka,2317.0,4.0,3.0,140.0,3,6042.296072507553
8427,Built-up  Area,Singasandra,600.0,1.0,0.0,45.0,1,7500.0
8428,Built-up  Area,Vishwanatha Nagenahalli,2200.0,3.0,0.0,115.0,4,5227.272727272727
8429,Super built-up  Area,Attibele,656.0,2.0,1.0,25.0,2,3810.9756097560976
8430,Built-up  Area,Attibele,400.0,1.0,1.0,11.5,1,2875.0
8431,Super built-up  Area,Yeshwanthpur,666.0,1.0,1.0,36.8,1,5525.525525525525
8433,Super built-up  Area,7th Phase JP Nagar,1174.0,2.0,1.0,47.0,2,4003.4071550255535
8434,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.7,2,4917.606244579359
8436,Built-up  Area,Narayanapura,2400.0,5.0,2.0,85.0,5,3541.6666666666665
8437,Super built-up  Area,Marathahalli,957.0,2.0,1.0,47.0,2,4911.180773249739
8439,Built-up  Area,Sarjapur  Road,1060.0,2.0,1.0,50.0,2,4716.981132075472
8440,Super built-up  Area,Banashankari,1000.0,2.0,1.0,50.0,2,5000.0
8441,Super built-up  Area,Kanakpura Road,1843.0,3.0,2.0,88.0,3,4774.823657080847
8442,Super built-up  Area,Kanakpura Road,1150.0,2.0,2.0,40.25,3,3500.0
8443,Super built-up  Area,Chandapura,1230.0,2.0,2.0,31.37,3,2550.4065040650407
8445,Super built-up  Area,Kanakpura Road,1703.0,3.0,2.0,130.0,3,7633.587786259542
8446,Super built-up  Area,Kaval Byrasandra,1125.0,2.0,1.0,41.5,2,3688.8888888888887
8447,Super built-up  Area,Battarahalli,1516.0,3.0,3.0,65.0,3,4287.598944591029
8448,Super built-up  Area,Brookefield,1130.0,2.0,2.0,56.0,2,4955.7522123893805
8449,Super built-up  Area,Iblur Village,3596.0,5.0,1.0,279.0,4,7758.620689655172
8450,Super built-up  Area,Hosa Road,1512.0,3.0,2.0,103.0,3,6812.169312169312
8451,Built-up  Area,Thanisandra,1491.0,3.0,1.0,88.0,3,5902.079141515761
8452,Super built-up  Area,Cox Town,1250.0,2.0,2.0,95.0,2,7600.0
8453,Super built-up  Area,Banashankari,1650.0,3.0,2.0,90.75,3,5500.0
8454,Super built-up  Area,Raja Rajeshwari Nagar,1140.0,2.0,1.0,48.7,2,4271.929824561404
8455,Plot  Area,Behind Don Bosco Church,1200.0,4.0,1.0,110.0,4,9166.666666666666
8456,Super built-up  Area,Thanisandra,1881.0,3.0,2.0,95.0,3,5050.50505050505
8457,Super built-up  Area,Kanakpura Road,1100.0,3.0,2.0,56.57,3,5142.727272727273
8458,Super built-up  Area,Iblur Village,2666.0,4.0,1.0,200.0,3,7501.875468867217
8459,Super built-up  Area,Bagalur,1500.0,2.0,1.0,50.0,2,3333.3333333333335
8461,Built-up  Area,Whitefield,1197.0,2.0,1.0,50.0,2,4177.109440267335
8462,Built-up  Area,BHEL Layout,2400.0,4.0,1.0,170.0,6,7083.333333333333
8463,Built-up  Area,Gollarapalya Hosahalli,1345.0,3.0,2.0,60.0,3,4460.966542750929
8464,Plot  Area,KR Puram,1200.0,4.0,2.0,100.0,4,8333.333333333334
8465,Super built-up  Area,Bannerghatta Road,3230.0,5.0,0.0,165.0,4,5108.359133126935
8466,Super built-up  Area,Banashankari Stage II,1260.0,2.0,1.0,95.0,3,7539.68253968254
8467,Built-up  Area,Sarjapur  Road,2750.0,5.0,1.0,240.0,4,8727.272727272728
8468,Plot  Area,9th Phase JP Nagar,1200.0,2.0,0.0,80.0,2,6666.666666666667
8469,Built-up  Area,Devara Jeevanahalli,1650.0,3.0,0.0,52.0,3,3151.5151515151515
8470,Super built-up  Area,1st Block HBR Layout,600.0,1.0,0.0,45.0,1,7500.0
8471,Super built-up  Area,Uttarahalli,1025.0,2.0,1.0,35.88,2,3500.4878048780492
8472,Super built-up  Area,Sarjapur,2302.5,2.0,2.0,80.59,4,3500.108577633008
8473,Super built-up  Area,Hennur Road,973.0,2.0,1.0,56.0,2,5755.395683453237
8476,Super built-up  Area,Balagere,1007.0,2.0,1.0,75.0,2,7447.864945382324
8477,Super built-up  Area,Hosa Road,800.0,1.0,0.0,39.99,1,4998.75
8478,Built-up  Area,Sarjapur  Road,1830.0,3.0,1.0,119.0,3,6502.732240437159
8479,Super built-up  Area,Nagavara,1077.0,2.0,1.0,50.0,2,4642.525533890436
8480,Plot  Area,Immadihalli,672.0,1.0,1.0,27.0,1,4017.8571428571427
8481,Plot  Area,Shanthi Layout,1280.0,3.0,0.0,87.0,3,6796.875
8482,Built-up  Area,Electronics City Phase 1,865.0,2.0,0.0,40.0,2,4624.277456647399
8483,Super built-up  Area,Kalena Agrahara,1000.0,2.0,2.0,33.0,2,3300.0
8484,Super built-up  Area,CV Raman Nagar,1285.0,2.0,2.0,65.0,2,5058.365758754864
8485,Super built-up  Area,Thanisandra,662.0,1.0,1.0,29.0,1,4380.664652567976
8487,Plot  Area,Sarjapura - Attibele Road,3750.0,6.0,3.0,295.0,5,7866.666666666667
8488,Super built-up  Area,Kalkere,1850.0,3.0,3.0,95.0,3,5135.135135135135
8489,Super built-up  Area,Harlur,1754.0,3.0,2.0,132.0,3,7525.655644241733
8492,Super built-up  Area,Anugrah Layout,1567.0,3.0,1.0,100.0,3,6381.620931716656
8493,Super built-up  Area,Hoskote,1695.0,3.0,3.0,50.0,3,2949.8525073746314
8495,Super built-up  Area,Bellandur,1150.0,2.0,1.0,69.44,2,6038.260869565217
8496,Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5029.585798816568
8497,Built-up  Area,1st Block Koramangala,2350.0,3.0,2.0,210.0,3,8936.170212765957
8498,Super built-up  Area,Karuna Nagar,1057.0,2.0,1.0,65.0,2,6149.479659413434
8499,Super built-up  Area,Hebbal,1320.0,2.0,1.0,91.0,2,6893.939393939394
8500,Super built-up  Area,Bhoganhalli,2119.0,4.0,3.0,111.0,4,5238.319962246343
8501,Super built-up  Area,Bandepalya,1125.0,2.0,1.0,48.0,2,4266.666666666667
8502,Super built-up  Area,Kanakpura Road,2254.0,3.0,2.0,170.0,3,7542.147293700089
8503,Super built-up  Area,Balagere,645.0,1.0,1.0,34.18,1,5299.224806201551
8504,Super built-up  Area,Rachenahalli,1050.0,2.0,2.0,52.08,2,4960.0
8505,Super built-up  Area,Panathur,1040.0,2.0,1.0,41.6,2,4000.0
8507,Super built-up  Area,1st Block Jayanagar,1760.0,3.0,2.0,115.0,3,6534.090909090909
8509,Super built-up  Area,Sarjapur  Road,984.0,2.0,1.0,45.91,2,4665.650406504065
8510,Built-up  Area,Raja Rajeshwari Nagar,1140.0,2.0,2.0,38.65,2,3390.3508771929824
8511,Super built-up  Area,Whitefield,3596.0,3.0,1.0,200.0,3,5561.735261401557
8512,Super built-up  Area,Kalkere,1365.0,3.0,2.0,54.0,3,3956.043956043956
8513,Super built-up  Area,Bethel Nagar,560.0,1.0,0.0,19.0,1,3392.8571428571427
8514,Super built-up  Area,Vittasandra,1404.0,2.0,1.0,75.0,2,5341.880341880342
8515,Super built-up  Area,Bellandur,1540.0,4.0,3.0,45.0,4,2922.0779220779223
8516,Built-up  Area,Electronic City,1050.0,2.0,1.0,39.0,3,3714.285714285714
8518,Super built-up  Area,Rachenahalli,1550.0,3.0,3.0,72.5,3,4677.419354838709
8519,Super built-up  Area,Yelahanka,1653.0,3.0,3.0,93.0,3,5626.134301270417
8520,Super built-up  Area,Parappana Agrahara,1194.0,2.0,2.0,47.0,2,3936.348408710218
8521,Super built-up  Area,Narayana Nagar 1st Block,1471.0,2.0,3.0,75.0,3,5098.572399728077
8522,Super built-up  Area,Kanakpura Road,700.0,2.0,1.0,35.0,2,5000.0
8523,Built-up  Area,Kudlu Gate,812.0,2.0,1.0,38.25,2,4710.591133004926
8524,Super built-up  Area,8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3,5518.617021276596
8525,Super built-up  Area,Mahadevpura,1450.0,3.0,2.0,75.0,3,5172.413793103448
8526,Super built-up  Area,Kannamangala,957.0,2.0,2.0,54.5,2,5694.879832810867
8527,Carpet  Area,Attibele,460.0,1.0,1.0,13.0,1,2826.086956521739
8529,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2,7142.857142857143
8530,Super built-up  Area,Budigere,1820.0,3.0,2.0,85.0,3,4670.32967032967
